# Clase8 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:24]  Un
[00:00:24 -> 00:00:47]  Bien, bueno, buenas noches a todos. Hoy vamos a empezar con el último tema de clase o de
[00:00:47 -> 00:00:55]  tipo de sistema multi agentes, habíamos visto un tipo de agentes en los cuales
[00:00:55 -> 00:01:03]  todos los agentes actúan de manera simultánea sobre ambiente,
[00:01:03 -> 00:01:08]  distintos tipos de sistemas,
[00:01:08 -> 00:01:14]  arrancando de sin estado, de una jugada, después con estado, ahora vamos a seguir con lo
[00:01:14 -> 00:01:29]  lo llamamos fuegos alternados o sitios de agentes en los cuales los agentes actúan de manera apórtulos,
[00:01:29 -> 00:01:35]  esencialmente de manera no sincrónica.
[00:01:35 -> 00:01:50]  Una parte de la clase va a estar dedicada a esto, después vamos a dar consulta sobre el obligatorio
[00:01:50 -> 00:01:55]  Así que vamos a seguir con este ritmo
[00:01:55 -> 00:02:06]  y bueno, esencialmente la parte práctica de esto va a venir el segundo obviado
[00:02:06 -> 00:02:13]  hoy vamos a arrancar, como estamos bien, tenemos tiempo, nos vamos a ir con tranquilidad
[00:02:13 -> 00:02:23]  a priori, no tengo la idea de haber los dos, en aula si es cosa el dadao 1 o el dadao 2
[00:02:23 -> 00:02:27]  pero si vemos menos que ellos no hay problema porque estamos bien
[00:02:31 -> 00:02:41]  capaz que una parte de esto así podemos ver un ejemplo simple como el de Aleric
[00:02:41 -> 00:02:50]  Bueno, entonces ahora para los que están online voy a arrancar con esta diapositiva que están acá.
[00:02:50 -> 00:02:57]  Me voy a tratar de trabajar en el pizarro, hacer algunos puntos del pizarro, que se paranos en todo el día.
[00:02:57 -> 00:02:58]  Hola.
[00:02:58 -> 00:02:59]  Hola.
[00:02:59 -> 00:03:06]  Para no ser tan morosos y seguir así la diapositiva.
[00:03:06 -> 00:03:15]  Entonces, este es vos alcas rados 1, que le va a parecer como 600, que queda mucho a 28.
[00:03:18 -> 00:03:27]  Sería eso. Ahora me presentaré esto y el primer ejemplo y después dejo de compartir.
[00:03:27 -> 00:03:50]  Bueno, bien. En lo comercial lo primero que vamos a hacer es esta idea que tengo con muchos agentes que juegan, que actúan de manera no sincronizada.
[00:03:50 -> 00:03:59]  Los ejemplos típicos de estos son los juegos como el Catetit, el Asfetres, Go...
[00:03:59 -> 00:04:08]  estos son los de los jugadores, hay también de múltiples jugadores como el poker, el futbol, el intirial...
[00:04:08 -> 00:04:14]  de juegos que bueno, como siempre...
[00:04:14 -> 00:04:31]  De hecho, por ejemplo, que están viendo ustedes, el foraging, los robots y bien los modelamos para que se muevan simultáneamente, a manera sincrónica
[00:04:31 -> 00:04:36]  Si ya lo empezaron a hacer, bien lo que tiene una acción es hacer nada,
[00:04:36 -> 00:04:49]  con lo cual básicamente en cada turno de acción uno o más robots no hacen nada.
[00:04:49 -> 00:04:53]  Es una manera de simular la interacción.
[00:04:53 -> 00:05:02]  Pero la característica particular que interviene sobre todo con este tipo de sistemas,
[00:05:02 -> 00:05:08]  a veces es que no todos los agentes pueden jugar o pueden participar en un determinado momento.
[00:05:08 -> 00:05:17]  Podemos hacer el ajedrez, podemos hacer el atleti, o podemos hacer el truco, o el fóquer, ahí.
[00:05:17 -> 00:05:31]  Entonces, típicamente en cada estado del sistema, del ambiente, hay una restricción del minto de agentes que es aquario.
