# Clase3 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:18]  Bien, tomo la renovación.
[00:00:18 -> 00:00:25]  Bueno, vamos a ver.
[00:00:25 -> 00:00:43]  Bien, bueno, hoy la idea es terminar con la parte teórica de todos los conceptos que
[00:00:43 -> 00:00:48]  venimos introduciendo el, este, el,
[00:00:48 -> 00:00:52]  esencialmente la teoría de juegos, los juegos matriciales
[00:00:52 -> 00:00:58]  y este, ver el primer armonismo de aprendizaje
[00:00:58 -> 00:01:03]  y dejar tiempo para que, bueno, lo puedan, puedan empezar un poco a, a
[00:01:03 -> 00:01:07]  familiarizarse con el código y si pueden, este, empezar la
[00:01:07 -> 00:01:11]  implementación, por lo menos, de ese, de ese
[00:01:41 -> 00:01:46]  Voy a después mostrarles lo que sería la ejecución.
[00:01:46 -> 00:01:48]  Vamos a ver.
[00:01:48 -> 00:01:56]  Y así después ya se pueden poner a través.
[00:01:56 -> 00:01:58]  Sí, sí.
[00:01:58 -> 00:02:00]  Bien.
[00:02:00 -> 00:02:04]  O sea, pequeño repaso.
[00:02:04 -> 00:02:07]  Una de las primeras cosas que vimos,
[00:02:07 -> 00:02:15]  en comparación a lo que ustedes también han visto en agentes inteligentes, es de donde venían las recompensas.
[00:02:15 -> 00:02:35]  Las recompensas son preferencias de los agentes.
[00:02:35 -> 00:02:37]  Eso es lo que da la receta.
[00:02:42 -> 00:02:48]  Y no tenemos como un sistema de interés a analizar,
[00:02:48 -> 00:02:50]  que acabamos juego hasta que no se fijan las recompensas.
[00:02:50 -> 00:02:57]  Lo que nosotros conocimos como juego, en este contexto, es un mal.
[00:02:57 -> 00:03:02]  Se dice punto de regla, la cantidad de jugadores que podemos jugar, etc.
[00:03:02 -> 00:03:04]  Es un mal.
[00:03:04 -> 00:03:13]  y cuando se distancian las recompensas ahí ya tenemos el tiempo.
[00:03:13 -> 00:03:22]  Segundo, que cuando empezamos a ver qué quiere decir, porque como estamos en un agente solo,
[00:03:22 -> 00:03:31]  es fácil, es inmediato entender que el objetivo es maximizar la recompensa esperada o la actividad esperada,
[00:03:31 -> 00:03:43]  Pero cuando son muchos agentes, todos van a intentar...
[00:03:43 -> 00:03:52]  Por ahora no van a estar habituados los controles, así que por reglas generales, habría que usar las drive.
[00:03:52 -> 00:03:56]  Igual podrías hablar con Marta Castro y tal.
[00:03:56 -> 00:03:59]  Vamos a entrar en esta manera.
[00:03:59 -> 00:04:01]  Gracias, gracias.
[00:04:01 -> 00:04:03]  Bien.
[00:04:03 -> 00:04:06]  Entonces, no es tan obvio.
[00:04:06 -> 00:04:10]  No es que la gente se le plantea...
[00:04:10 -> 00:04:18]  Hay una ecuación en la que hay que encontrar la característica que maximiza el valor.
[00:04:18 -> 00:04:21]  Acá no es tan obvio que todo el mundo, por su acento,
[00:04:21 -> 00:04:27]  Y aparece como...
[00:04:27 -> 00:04:29]  Como...
[00:04:29 -> 00:04:34]  Finalidad por un lado versus equilibrio.
[00:04:39 -> 00:04:42]  O sea, finalidad y equilibrio son dos cosas equipas.
[00:04:42 -> 00:04:46]  O sea, esto lo habíamos visto con el caso... bueno...
[00:04:46 -> 00:04:57]  bueno, conocido también como el dilema del pichón, que ahí puede haber una situación
[00:04:57 -> 00:05:09]  en la que todos los agentes tienen una utilidad mayor que la que obtienen en otras circunstancias
[00:05:09 -> 00:05:19]  que entraría en la situación de Eq y una estrategia que le da un valor mayor que el de Eq.
